Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans
2021.07.19-13.15.38,711,0,0,711,0,0,0,0,0,0,0,0,0,0,0
2021.07.21-08.46.07,711,0,0,711,0,0,0,0,0,0,0,0,0,0,17
2022.03.29-07.40.32,2663,0,0,2663,0,0,0,0,0,0,0,0,0,0,3
2022.07.07-16.56.56,2814,0,0,2814,0,0,0,0,0,0,0,0,0,0,3
2022.07.08-05.45.24,2823,0,0,2823,0,0,0,0,0,0,0,0,0,0,3
2022.08.20-05.41.22,2822,0,0,2822,0,0,0,0,0,0,0,0,0,0,3
2022.08.20-05.41.36,2822,0,0,2821,0,0,0,0,0,0,0,0,0,0,3
2022.08.20-16.39.17,2822,0,0,2822,0,0,0,0,0,0,0,0,0,0,3
2022.08.24-04.56.53,2822,2757,2757,2822,2757,2757,2757,2757,2757,2757,2757,2757,2757,2757,2757
2022.08.25-05.32.23,2745,2743,2743,2745,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743
2022.08.31-05.22.32,2755,2743,2743,2755,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743
2022.09.07-05.38.27,2785,2743,2743,2785,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743
2022.11.01-05.23.26,2788,2743,2743,2788,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743
2022.11.02-05.24.59,2829,2743,2743,2829,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743
2022.11.05-16.31.55,2799,2743,2743,2799,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743
2022.11.12-06.17.32,2829,2743,2743,2829,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743
2022.12.05-17.44.24,2899,2743,2743,2899,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743,2743
2022.12.09-17.45.46,2902,2740,2740,2902,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740
2022.12.10-05.42.37,2906,2740,2740,2906,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740
2023.01.24-17.46.51,2950,2740,2740,2950,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740
2023.02.03-05.54.35,2952,2740,2740,2952,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740
2023.03.03-05.38.27,2986,2740,2740,2986,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740
2023.03.03-17.33.50,3005,2740,2740,3005,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740
2023.04.01-16.43.50,3006,2740,2740,3006,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740
2023.04.21-04.49.53,2850,2520,2520,2850,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520
2023.04.21-16.44.28,2863,2520,2520,2863,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520
2023.04.21-16.44.35,2863,2533,2533,2863,2533,2533,2533,2533,2533,2533,2533,2533,2533,2533,2533
2023.04.26-04.50.26,2914,2533,2533,2914,2533,2533,2533,2533,2533,2533,2533,2533,2533,2533,2533
